ROW 1: PA0001 | seq=1 | name=풀링(pooling)
ROW 2: PA0002 | seq=2 | name=관능평가
ROW 3: PA0003 | seq=3 | name=성상
ROW 4: PA0004 | seq=4 | name=이물
ROW 5: PA0005 | seq=5 | name=금속성이물
ROW 6: PA0006 | seq=6 | name=금속성이물
ROW 7: PA0007 | seq=7 | name=입도
ROW 8: PA0008 | seq=8 | name=입도-12호(1680㎛)체 통과율
ROW 9: PA0009 | seq=9 | name=입도-14호(1410㎛)체 통과율
ROW 10: PA0010 | seq=10 | name=입도-45호(350㎛)체 통과율
ROW 11: PA0011 | seq=11 | name=입도-20호(850μm)체 통과율
ROW 12: PA0012 | seq=12 | name=입도-270호(53㎛)체 통과율
ROW 13: PA0013 | seq=13 | name=내열성세균수
ROW 14: PA0014 | seq=14 | name=혐기성세균수
ROW 15: PA0015 | seq=15 | name=호기성세균수
ROW 16: PA0016 | seq=16 | name=호열성세균수
ROW 17: PA0017 | seq=17 | name=세균
ROW 18: PA0018 | seq=18 | name=세균(발육)
ROW 19: PA0019 | seq=19 | name=세균발육
ROW 20: PA0020 | seq=20 | name=세균수
ROW 21: PA0021 | seq=21 | name=세균수
ROW 22: PA0022 | seq=22 | name=세균수
ROW 23: PA0023 | seq=23 | name=세균수
ROW 24: PA0024 | seq=24 | name=세균수
ROW 25: PA0025 | seq=25 | name=세균수
ROW 26: PA0026 | seq=26 | name=세균수(n=5)
ROW 27: PA0027 | seq=27 | name=세균수(n=5)
ROW 28: PA0028 | seq=28 | name=대장균(정성)
ROW 29: PA0029 | seq=29 | name=대장균(정량)
ROW 30: PA0030 | seq=30 | name=대장균(정량)
ROW 31: PA0031 | seq=31 | name=대장균(정량)
ROW 32: PA0032 | seq=32 | name=대장균(정량)
ROW 33: PA0033 | seq=33 | name=대장균(정량)
ROW 34: PA0034 | seq=34 | name=대장균(정성)
ROW 35: PA0035 | seq=35 | name=대장균(n=2,정량)
ROW 36: PA0036 | seq=36 | name=대장균(n=4,정량)
ROW 37: PA0037 | seq=37 | name=대장균(n=5,정량)
ROW 38: PA0038 | seq=38 | name=대장균(n=5,정량)
ROW 39: PA0039 | seq=39 | name=대장균(n=5,정량)
ROW 40: PA0040 | seq=40 | name=대장균(n=5,정성)
ROW 41: PA0041 | seq=41 | name=대장균군(정성)
ROW 42: PA0042 | seq=42 | name=대장균군(정성)
ROW 43: PA0043 | seq=43 | name=대장균군(정량)
ROW 44: PA0044 | seq=44 | name=대장균군(정량)
ROW 45: PA0045 | seq=45 | name=대장균군(정량)
