자가품질위탁검사용 | suffix | 01
참고용 | serial | FR
참고용(유통기한설정) | suffix | SL
영양성분 | serial | FN
정도관리 | suffix | Q
접수취소 | serial | C
참고용(외부의뢰) | serial | E
방사능(HPGe) | serial | R
Allergen(ELISA) | serial | AE
Halal food(RT_PCR) | serial | HR
Vegan food(RT-PCR) | serial | VR
물질검사 | serial | F
Allergen(RT-PCR) | serial | AR
연구용역 | serial | RS
표시기준 | suffix | LB
IGC | suffix | IG
잔류농약(인증용) | suffix | PC
잔류농약 | serial | P
항생물질(인증용) | suffix | AC
항생물질 | serial | A
소비기한 | serial | FU
참고용(위생안전꾸러미) | suffix | 
참고용(HACCP모니터링) | suffix | 
제출용 | suffix | 
친환경인증용 | suffix | 
GAP인증용 | suffix | 
참고용(품목제조보고서신고제품) | suffix | 
참고용(품목제조보고서신고제품-기준규격) | suffix | 
자가품질위탁검사용 | suffix | 07
참고용 | serial | LR
참고용 (복사) | suffix | FR
영양성분 | serial | LN
소비기한 | serial | LU
